"show","week","year","atlas_text","fauci_text"
"CNN_Newsroom_Live",51,2020,0,6
"CNN_Newsroom_Live",52,2020,0,12
"CNN_Newsroom_Live",53,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",10,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",11,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",12,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",13,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",14,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",16,2020,0,1
"CNN_Newsroom_With_Ana_Cabrera",17,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",18,2020,0,4
"CNN_Newsroom_With_Ana_Cabrera",19,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",20,2020,0,1
"CNN_Newsroom_With_Ana_Cabrera",21,2020,0,1
"CNN_Newsroom_With_Ana_Cabrera",24,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",26,2020,0,3
"CNN_Newsroom_With_Ana_Cabrera",28,2020,0,1
"CNN_Newsroom_With_Ana_Cabrera",29,2020,0,2
"CNN_Newsroom_With_Ana_Cabrera",30,2020,0,18
"CNN_Newsroom_With_Ana_Cabrera",31,2020,0,4
"CNN_Newsroom_With_Ana_Cabrera",33,2020,3,2
"CNN_Newsroom_With_Ana_Cabrera",34,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",35,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",36,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",37,2020,0,3
"CNN_Newsroom_With_Ana_Cabrera",39,2020,0,2
"CNN_Newsroom_With_Ana_Cabrera",40,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",41,2020,0,18
"CNN_Newsroom_With_Ana_Cabrera",42,2020,3,0
"CNN_Newsroom_With_Ana_Cabrera",43,2020,0,2
"CNN_Newsroom_With_Ana_Cabrera",45,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",46,2020,0,1
"CNN_Newsroom_With_Ana_Cabrera",47,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",48,2020,0,1
