"network","week","wordcounts","show","year","death_text","health_text"
"cnn",31,12440,"CNN_Newsroom_Live",2020,160,333
"cnn",32,5927,"CNN_Newsroom_Live",2020,82,171
"cnn",33,5018,"CNN_Newsroom_Live",2020,69,205
"cnn",34,6327,"CNN_Newsroom_Live",2020,74,223
"cnn",35,9557,"CNN_Newsroom_Live",2020,76,313
"cnn",36,10440,"CNN_Newsroom_Live",2020,103,386
"cnn",37,4956,"CNN_Newsroom_Live",2020,47,147
"cnn",38,6632,"CNN_Newsroom_Live",2020,81,213
"cnn",39,5139,"CNN_Newsroom_Live",2020,65,184
"cnn",40,18571,"CNN_Newsroom_Live",2020,104,720
"cnn",41,15443,"CNN_Newsroom_Live",2020,100,554
"cnn",42,14000,"CNN_Newsroom_Live",2020,120,444
"cnn",43,14539,"CNN_Newsroom_Live",2020,120,460
"cnn",44,874,"CNN_Newsroom_Live",2020,17,38
"cnn",45,3704,"CNN_Newsroom_Live",2020,58,120
"cnn",46,12090,"CNN_Newsroom_Live",2020,149,493
"cnn",47,12897,"CNN_Newsroom_Live",2020,117,498
"cnn",48,9598,"CNN_Newsroom_Live",2020,100,461
"cnn",49,6477,"CNN_Newsroom_Live",2020,92,406
"cnn",50,13422,"CNN_Newsroom_Live",2020,112,786
"cnn",51,15675,"CNN_Newsroom_Live",2020,166,808
"cnn",52,22794,"CNN_Newsroom_Live",2020,261,908
"cnn",53,6264,"CNN_Newsroom_Live",2020,86,300
"cnn",10,2244,"CNN_Newsroom_With_Ana_Cabrera",2020,9,85
"cnn",11,2377,"CNN_Newsroom_With_Ana_Cabrera",2020,19,82
"cnn",12,444,"CNN_Newsroom_With_Ana_Cabrera",2020,3,18
"cnn",13,1819,"CNN_Newsroom_With_Ana_Cabrera",2020,21,85
"cnn",14,3391,"CNN_Newsroom_With_Ana_Cabrera",2020,52,189
"cnn",16,3129,"CNN_Newsroom_With_Ana_Cabrera",2020,35,157
"cnn",17,695,"CNN_Newsroom_With_Ana_Cabrera",2020,11,26
"cnn",18,2298,"CNN_Newsroom_With_Ana_Cabrera",2020,21,103
"cnn",19,2762,"CNN_Newsroom_With_Ana_Cabrera",2020,27,163
"cnn",20,1492,"CNN_Newsroom_With_Ana_Cabrera",2020,14,112
"cnn",21,2929,"CNN_Newsroom_With_Ana_Cabrera",2020,34,95
"cnn",24,409,"CNN_Newsroom_With_Ana_Cabrera",2020,3,10
"cnn",26,3565,"CNN_Newsroom_With_Ana_Cabrera",2020,12,117
"cnn",28,3066,"CNN_Newsroom_With_Ana_Cabrera",2020,34,138
"cnn",29,2077,"CNN_Newsroom_With_Ana_Cabrera",2020,20,116
"cnn",30,2979,"CNN_Newsroom_With_Ana_Cabrera",2020,27,153
"cnn",31,6132,"CNN_Newsroom_With_Ana_Cabrera",2020,47,138
"cnn",33,2400,"CNN_Newsroom_With_Ana_Cabrera",2020,37,109
"cnn",34,2195,"CNN_Newsroom_With_Ana_Cabrera",2020,12,52
"cnn",35,1311,"CNN_Newsroom_With_Ana_Cabrera",2020,3,79
"cnn",36,593,"CNN_Newsroom_With_Ana_Cabrera",2020,6,17
"cnn",37,3017,"CNN_Newsroom_With_Ana_Cabrera",2020,49,113
"cnn",39,890,"CNN_Newsroom_With_Ana_Cabrera",2020,12,23
"cnn",40,6437,"CNN_Newsroom_With_Ana_Cabrera",2020,17,284
"cnn",41,4349,"CNN_Newsroom_With_Ana_Cabrera",2020,24,149
"cnn",42,3556,"CNN_Newsroom_With_Ana_Cabrera",2020,25,67
"cnn",43,6061,"CNN_Newsroom_With_Ana_Cabrera",2020,63,164
"cnn",45,1467,"CNN_Newsroom_With_Ana_Cabrera",2020,23,18
"cnn",46,3868,"CNN_Newsroom_With_Ana_Cabrera",2020,28,167
"cnn",47,4265,"CNN_Newsroom_With_Ana_Cabrera",2020,50,145
"cnn",48,1684,"CNN_Newsroom_With_Ana_Cabrera",2020,18,71
"cnn",50,3207,"CNN_Newsroom_With_Ana_Cabrera",2020,31,227
"cnn",51,3270,"CNN_Newsroom_With_Ana_Cabrera",2020,16,163
"cnn",52,3129,"CNN_Newsroom_With_Ana_Cabrera",2020,19,125
"cnn",9,2526,"CNN_Newsroom_With_Brooke_Baldwin",2020,10,86
"cnn",11,4451,"CNN_Newsroom_With_Brooke_Baldwin",2020,19,142
"cnn",12,1409,"CNN_Newsroom_With_Brooke_Baldwin",2020,7,84
"cnn",13,1309,"CNN_Newsroom_With_Brooke_Baldwin",2020,15,85
"cnn",14,1692,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,87
"cnn",15,1361,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,49
"cnn",17,3242,"CNN_Newsroom_With_Brooke_Baldwin",2020,51,95
"cnn",19,300,"CNN_Newsroom_With_Brooke_Baldwin",2020,1,5
"cnn",21,729,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,36
"cnn",22,1080,"CNN_Newsroom_With_Brooke_Baldwin",2020,24,23
"cnn",24,2320,"CNN_Newsroom_With_Brooke_Baldwin",2020,19,73
"cnn",25,618,"CNN_Newsroom_With_Brooke_Baldwin",2020,9,15
"cnn",26,2365,"CNN_Newsroom_With_Brooke_Baldwin",2020,16,81
"cnn",27,1845,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,66
"cnn",28,1949,"CNN_Newsroom_With_Brooke_Baldwin",2020,20,65
"cnn",29,2360,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,134
"cnn",30,4614,"CNN_Newsroom_With_Brooke_Baldwin",2020,49,127
"cnn",31,4832,"CNN_Newsroom_With_Brooke_Baldwin",2020,44,152
"cnn",32,2952,"CNN_Newsroom_With_Brooke_Baldwin",2020,28,92
"cnn",35,1190,"CNN_Newsroom_With_Brooke_Baldwin",2020,8,51
"cnn",36,3115,"CNN_Newsroom_With_Brooke_Baldwin",2020,41,145
"cnn",37,1788,"CNN_Newsroom_With_Brooke_Baldwin",2020,4,78
"cnn",38,1196,"CNN_Newsroom_With_Brooke_Baldwin",2020,18,33
"cnn",45,1122,"CNN_Newsroom_With_Brooke_Baldwin",2020,7,47
"cnn",46,2306,"CNN_Newsroom_With_Brooke_Baldwin",2020,18,76
"cnn",47,1741,"CNN_Newsroom_With_Brooke_Baldwin",2020,12,58
"cnn",48,2081,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,82
"cnn",49,2844,"CNN_Newsroom_With_Brooke_Baldwin",2020,22,172
"cnn",51,1089,"CNN_Newsroom_With_Brooke_Baldwin",2020,10,70
"cnn",52,7724,"CNN_Newsroom_With_Brooke_Baldwin",2020,83,350
"cnn",53,1083,"CNN_Newsroom_With_Brooke_Baldwin",2020,2,82
"cnn",10,1107,"CNN_Newsroom_With_Fredricka_Whitfield",2020,12,37
"cnn",12,1235,"CNN_Newsroom_With_Fredricka_Whitfield",2020,1,43
"cnn",13,1388,"CNN_Newsroom_With_Fredricka_Whitfield",2020,8,50
"cnn",14,4571,"CNN_Newsroom_With_Fredricka_Whitfield",2020,29,198
"cnn",15,1730,"CNN_Newsroom_With_Fredricka_Whitfield",2020,18,67
"cnn",17,4785,"CNN_Newsroom_With_Fredricka_Whitfield",2020,25,228
"cnn",18,1202,"CNN_Newsroom_With_Fredricka_Whitfield",2020,6,38
"cnn",19,3840,"CNN_Newsroom_With_Fredricka_Whitfield",2020,26,141
"cnn",20,1852,"CNN_Newsroom_With_Fredricka_Whitfield",2020,14,99
"cnn",21,2219,"CNN_Newsroom_With_Fredricka_Whitfield",2020,25,93
"cnn",23,948,"CNN_Newsroom_With_Fredricka_Whitfield",2020,18,54
"cnn",24,3302,"CNN_Newsroom_With_Fredricka_Whitfield",2020,40,104
"cnn",25,1461,"CNN_Newsroom_With_Fredricka_Whitfield",2020,11,40
"cnn",26,6661,"CNN_Newsroom_With_Fredricka_Whitfield",2020,50,188
"cnn",27,2568,"CNN_Newsroom_With_Fredricka_Whitfield",2020,17,102
"cnn",28,3000,"CNN_Newsroom_With_Fredricka_Whitfield",2020,35,129
"cnn",29,1345,"CNN_Newsroom_With_Fredricka_Whitfield",2020,24,54
"cnn",30,4673,"CNN_Newsroom_With_Fredricka_Whitfield",2020,55,224
"cnn",31,2263,"CNN_Newsroom_With_Fredricka_Whitfield",2020,29,52
"cnn",32,2454,"CNN_Newsroom_With_Fredricka_Whitfield",2020,33,78
"cnn",33,2308,"CNN_Newsroom_With_Fredricka_Whitfield",2020,22,77
"cnn",34,2123,"CNN_Newsroom_With_Fredricka_Whitfield",2020,15,58
"cnn",35,1686,"CNN_Newsroom_With_Fredricka_Whitfield",2020,32,115
"cnn",36,1762,"CNN_Newsroom_With_Fredricka_Whitfield",2020,16,65
"cnn",37,3701,"CNN_Newsroom_With_Fredricka_Whitfield",2020,40,133
"cnn",38,909,"CNN_Newsroom_With_Fredricka_Whitfield",2020,10,32
"cnn",39,1681,"CNN_Newsroom_With_Fredricka_Whitfield",2020,15,33
"cnn",40,1606,"CNN_Newsroom_With_Fredricka_Whitfield",2020,16,46
"cnn",41,2633,"CNN_Newsroom_With_Fredricka_Whitfield",2020,14,95
"cnn",42,6694,"CNN_Newsroom_With_Fredricka_Whitfield",2020,62,192
"cnn",43,2842,"CNN_Newsroom_With_Fredricka_Whitfield",2020,30,80
"cnn",45,392,"CNN_Newsroom_With_Fredricka_Whitfield",2020,3,9
"cnn",46,2111,"CNN_Newsroom_With_Fredricka_Whitfield",2020,13,92
"cnn",47,3991,"CNN_Newsroom_With_Fredricka_Whitfield",2020,40,138
"cnn",48,4153,"CNN_Newsroom_With_Fredricka_Whitfield",2020,25,159
"cnn",49,1545,"CNN_Newsroom_With_Fredricka_Whitfield",2020,8,37
"cnn",50,3827,"CNN_Newsroom_With_Fredricka_Whitfield",2020,41,368
"cnn",51,3887,"CNN_Newsroom_With_Fredricka_Whitfield",2020,26,154
"cnn",52,4040,"CNN_Newsroom_With_Fredricka_Whitfield",2020,36,140
"cnn",11,1410,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,1,76
"cnn",12,483,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,4,28
"cnn",13,1963,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,27,85
"cnn",14,4388,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,31,205
"cnn",15,974,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,14,64
"cnn",16,3655,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,46,141
"cnn",17,3416,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,57,91
"cnn",18,3157,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,33,114
"cnn",20,1337,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,8,46
"cnn",21,3496,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,24,128
"cnn",22,764,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,12,44
"cnn",23,463,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,3,34
"cnn",24,2225,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,17,72
"cnn",25,5408,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,33,138
"cnn",26,5317,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,38,225
"cnn",27,2168,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,25,77
"cnn",28,6153,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,61,252
"cnn",29,5592,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,71,205
"cnn",30,6026,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,38,238
"cnn",31,5988,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,71,286
"cnn",32,5753,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,56,170
"cnn",33,2865,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,16,97
"cnn",34,6071,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,28,197
"cnn",35,1994,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,15,93
"cnn",36,6184,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,67,285
"cnn",37,1980,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,12,50
"cnn",38,2276,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,11,84
"cnn",39,746,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,7,14
"cnn",40,1749,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,8,69
"cnn",41,3409,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,22,122
"cnn",42,3145,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,21,120
"cnn",43,2063,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,15,132
"cnn",45,1177,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,11,53
"cnn",46,4135,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,31,205
"cnn",47,4269,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,37,163
"cnn",48,1141,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,9,58
"cnn",49,2936,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,41,155
"cnn",50,1869,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,30,107
"cnn",51,2861,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,12,162
"cnn",52,7440,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,61,362
"cnn",53,678,"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",2020,7,38
"cnn",10,1021,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,2,55
"cnn",11,1677,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,13,66
"cnn",12,1606,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,16,64
"cnn",14,1338,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,6,55
"cnn",15,1073,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,12,52
"cnn",18,1065,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,4,51
"cnn",19,1043,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,6,51
"cnn",21,1005,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,7,30
"cnn",25,1169,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,6,46
"cnn",27,1328,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,8,67
"cnn",28,1646,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,17,72
"cnn",30,937,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,9,40
"cnn",31,1238,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,9,22
"cnn",35,540,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,4,25
"cnn",36,973,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,15,25
"cnn",42,65,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,1,3
"cnn",47,1159,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,7,65
"cnn",50,1118,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,8,90
"cnn",52,1149,"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",2020,9,46
"cnn",11,2204,"CNN_Right_Now_With_Brianna_Keilar",2020,8,92
"cnn",12,994,"CNN_Right_Now_With_Brianna_Keilar",2020,11,50
"cnn",15,799,"CNN_Right_Now_With_Brianna_Keilar",2020,9,45
"cnn",45,1752,"CNN_Right_Now_With_Brianna_Keilar",2020,13,88
"cnn",46,1801,"CNN_Right_Now_With_Brianna_Keilar",2020,19,59
"cnn",49,1259,"CNN_Right_Now_With_Brianna_Keilar",2020,16,63
"cnn",50,2180,"CNN_Right_Now_With_Brianna_Keilar",2020,12,125
"cnn",21,3166,"CNN_Special_Report",2020,44,121
"cnn",24,820,"CNN_Special_Report",2020,7,28
"cnn",26,1064,"CNN_Special_Report",2020,8,51
"cnn",27,3744,"CNN_Special_Report",2020,35,134
