"fauci","cc","network","show","week","year"
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",38,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",39,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",40,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",41,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",42,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",43,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",44,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",45,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",46,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",47,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",48,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",49,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",50,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",51,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",52,2020
NA,NA,"cnn","Americas_Choice_2020_Republican_National_Convention",53,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",9,2020
6,52,"cnn","Americas_Choice_2020_Super_Tuesday",10,2020
0,3,"cnn","Americas_Choice_2020_Super_Tuesday",11,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",12,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",13,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",14,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",15,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",16,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",17,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",18,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",19,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",20,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",21,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",22,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",23,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",24,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",25,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",26,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",27,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",28,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",29,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",30,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",31,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",32,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",33,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",34,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",35,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",36,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",37,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",38,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",39,2020
