"network","week","wordcounts","show","year","death_text","health_text","network2","week2","wc","cnn","msnbc","log_wc","cnn_times_week2","msnbc_times_week2","show_id"
"cnn",15,1081,"CNN_Newsroom",2020,14,35,"cnn",6,1081,1,0,6.98564181763921,6,0,6
"cnn",16,979,"CNN_Newsroom",2020,10,37,"cnn",7,979,1,0,6.88653164253051,7,0,6
"cnn",17,8071,"CNN_Newsroom",2020,56,299,"cnn",8,8071,1,0,8.99603266932437,8,0,6
"cnn",18,7752,"CNN_Newsroom",2020,53,377,"cnn",9,7752,1,0,8.9557061535706,9,0,6
"cnn",20,3234,"CNN_Newsroom",2020,27,120,"cnn",11,3234,1,0,8.08147504013705,11,0,6
"cnn",21,4526,"CNN_Newsroom",2020,44,148,"cnn",12,4526,1,0,8.41759382619348,12,0,6
"cnn",22,2342,"CNN_Newsroom",2020,36,49,"cnn",13,2342,1,0,7.75876054415766,13,0,6
"cnn",23,2204,"CNN_Newsroom",2020,27,60,"cnn",14,2204,1,0,7.6980291702728,14,0,6
"cnn",24,2100,"CNN_Newsroom",2020,15,76,"cnn",15,2100,1,0,7.64969262371151,15,0,6
"cnn",25,8828,"CNN_Newsroom",2020,65,319,"cnn",16,8828,1,0,9.08568376737663,16,0,6
"cnn",26,7904,"CNN_Newsroom",2020,60,319,"cnn",17,7904,1,0,8.9751242394277,17,0,6
"cnn",27,9315,"CNN_Newsroom",2020,68,433,"cnn",18,9315,1,0,9.13938128303569,18,0,6
"cnn",28,11796,"CNN_Newsroom",2020,119,456,"cnn",19,11796,1,0,9.37551576993517,19,0,6
"cnn",29,11933,"CNN_Newsroom",2020,92,435,"cnn",20,11933,1,0,9.38706295036966,20,0,6
"cnn",30,2358,"CNN_Newsroom",2020,20,80,"cnn",21,2358,1,0,7.76556908109732,21,0,6
"cnn",31,10503,"CNN_Newsroom",2020,72,397,"cnn",22,10503,1,0,9.25941620962278,22,0,6
"cnn",32,17377,"CNN_Newsroom",2020,175,601,"cnn",23,17377,1,0,9.76290277172225,23,0,6
